username,email,password,role
user1,user1@example.com,^x'=f7N1,student
user2,user2@example.com,C48[k]GW,student
user3,user3@example.com,]o.Y?M3P,student
user4,user4@example.com,p2sG0`{M,student
user5,user5@example.com,\!Q@'!e=,student
user6,user6@example.com,}i!#|soG,student
user7,user7@example.com,UxYxyJ~Y,student
user8,user8@example.com,.!2yC$ts,student
user9,user9@example.com,B_D;qgdp,student
user10,user10@example.com,t2-51I0.,student
user11,user11@example.com,VmuAW|f<,student
user12,user12@example.com,^>SRiR\A,student
user13,user13@example.com,\t/V35.c,student
user14,user14@example.com,&1rX>NKT,student
user15,user15@example.com,b]nAI*vo,student
user16,user16@example.com,GNr%KP>+,student
user17,user17@example.com,TlwFX`C.,student
user18,user18@example.com,!KI]je|7,student
user19,user19@example.com,"^zDf=""Xy",student
user20,user20@example.com,"Z+d,e]&X",student
user21,user21@example.com,Pgfrs(E[,student
user22,user22@example.com,Sy-C;#R<,student
user23,user23@example.com,L.m)c.Oh,student
user24,user24@example.com,1`xX\C\M,student
user25,user25@example.com,":}!2\rL""",student
user26,user26@example.com,S+s~`gxQ,student
user27,user27@example.com,"P+f7^),w",student
user28,user28@example.com,IbWmJ*l0,student
user29,user29@example.com,HDkiy_]F,student
user30,user30@example.com,H4BF&tYS,student
